entry_time,exit_time,entry_price,exit_price,qty_btc,notional_eur,sl_price,tp_price,pnl_eur,pnl_pct_of_account,confidence,prob_up,close_reason,bars_held,exit_month,balance_after,gross_gain_eur,gross_loss_eur
2026-01-07 18:00:00,2026-01-08 04:00:00,90691.76,90949.74,0.110395,10011.91,89982.51,92110.25,28.48,0.284,0.7599,0.7599,SHORT_SIGNAL_SPOT_EXIT,10,2026-01,10567.34,28.48,0.0
2026-01-08 06:00:00,2026-01-08 16:00:00,89940.03,90718.9,0.111618,10038.97,89244.67,91330.75,86.94,0.866,0.759,0.759,SHORT_SIGNAL_SPOT_EXIT,10,2026-01,10654.27,86.94,0.0
2026-01-08 20:00:00,2026-01-09 04:00:00,90841.2,90939.28,0.11142,10121.56,90044.0,92435.6,10.93,0.108,0.6701,0.6701,SHORT_SIGNAL_SPOT_EXIT,8,2026-01,10665.2,10.93,0.0
2026-01-09 12:00:00,2026-01-09 15:00:00,90348.66,89797.41,0.112143,10131.94,89797.41,91451.18,-61.82,-0.61,0.8203,0.8203,SL_AND_TP_SAME_BAR_CONSERVATIVE_SL,3,2026-01,10603.38,0.0,-61.82
2026-01-09 20:00:00,2026-01-10 08:00:00,90185.78,90531.08,0.111694,10073.21,89230.33,92096.68,38.57,0.383,0.7564,0.7564,TIME_EXIT,12,2026-01,10641.95,38.57,0.0
2026-01-10 12:00:00,2026-01-10 21:00:00,90598.29,90392.44,0.11159,10109.85,90392.44,91010.0,-22.97,-0.227,0.7328,0.7328,STOP_LOSS,9,2026-01,10618.98,0.0,-22.97
2026-01-11 07:00:00,2026-01-11 14:00:00,90589.42,90906.88,0.11136,10088.03,90430.69,90906.88,35.35,0.35,0.6566,0.6566,TAKE_PROFIT,7,2026-01,10654.33,35.35,0.0
2026-01-11 14:00:00,2026-01-11 15:00:00,91043.95,90849.56,0.111173,10121.61,90849.56,91432.71,-21.61,-0.214,0.6908,0.6908,STOP_LOSS,1,2026-01,10632.72,0.0,-21.61
2026-01-11 15:00:00,2026-01-11 20:00:00,90747.76,90518.96,0.111309,10101.08,90518.96,91205.35,-25.47,-0.252,0.6908,0.6908,STOP_LOSS,5,2026-01,10607.25,0.0,-25.47
2026-01-11 20:00:00,2026-01-12 01:00:00,90538.41,91165.77,0.1113,10076.89,90224.73,91165.77,69.83,0.693,0.7872,0.7872,TAKE_PROFIT,5,2026-01,10677.08,69.83,0.0
2026-01-12 01:00:00,2026-01-12 03:00:00,91262.02,92256.18,0.111144,10143.22,90764.94,92256.18,110.49,1.089,0.8907,0.8907,TAKE_PROFIT,2,2026-01,10787.57,110.49,0.0
2026-01-12 03:00:00,2026-01-12 08:00:00,91719.34,91092.29,0.111734,10248.19,91092.29,92973.45,-70.06,-0.684,0.7899,0.7899,STOP_LOSS,5,2026-01,10717.51,0.0,-70.06
2026-01-12 10:00:00,2026-01-12 16:00:00,90278.86,91821.04,0.11278,10181.63,89507.77,91821.04,173.93,1.708,0.6773,0.6773,TAKE_PROFIT,6,2026-01,10891.44,173.93,0.0
2026-01-12 17:00:00,2026-01-12 20:00:00,91416.16,91393.2,0.113184,10346.86,90574.07,93100.33,-2.6,-0.025,0.8724,0.8724,SHORT_SIGNAL_SPOT_EXIT,3,2026-01,10888.84,0.0,-2.6
2026-01-13 00:00:00,2026-01-13 12:00:00,91386.71,91999.12,0.113194,10344.4,90594.91,92970.31,69.32,0.67,0.8486,0.8486,TIME_EXIT,12,2026-01,10958.16,69.32,0.0
2026-01-13 12:00:00,2026-01-13 15:00:00,91999.12,93045.02,0.113156,10410.25,91476.17,93045.02,118.35,1.137,0.9388,0.9388,TAKE_PROFIT,3,2026-01,11076.51,118.35,0.0
2026-01-13 15:00:00,2026-01-13 22:00:00,93283.03,94713.27,0.112804,10522.68,92567.91,94713.27,161.34,1.533,0.6672,0.6672,TAKE_PROFIT,7,2026-01,11237.84,161.34,0.0
2026-01-13 23:00:00,2026-01-14 11:00:00,95354.05,94706.01,0.111961,10675.95,94356.84,97348.46,-72.56,-0.68,0.7608,0.7608,TIME_EXIT,12,2026-01,11165.29,0.0,-72.56
